amp; max; min; volt; max; min; wattage; mah; Joule
189,5;187,1;172,1;5,0;5,01;5,0;1,0;18,5;0,15
158,37;164,6;138,4;5,02;5,03;5,01;1,0;18,51;0,15
135,67;138,0;130,6;5,02;5,02;5,02;1,0;18,52;0,15
142,73;155,4;130,6;5,02;5,02;5,01;1,0;18,52;0,15
133,87;137,6;121,8;5,02;5,02;5,02;1,0;18,53;0,15
126,8;137,0;121,6;5,02;5,02;5,01;1,0;18,54;0,15
144,4;151,4;137,0;5,01;5,02;5,01;1,0;18,55;0,15
134,33;128,8;128,8;5,02;5,02;5,01;1,0;18,55;0,15
134,93;162,5;122,7;5,02;5,03;5,01;1,0;18,56;0,15
142,43;133,5;131,3;5,01;5,02;5,01;1,0;18,57;0,15
